time,product,api,success,error
13:44:26,VPC,CreateVpc,1,
13:44:36,VPC,CreateVSwitch,1,
13:45:09,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:45:15,ECS,DescribeAvailableResource,1,
13:45:23,ECS,CreateSecurityGroup,1,
13:45:30,ECS,RunInstances,1,
13:45:49,ECS,DescribeLoadBalancers,0,"任务未完成: 缺少资源: SLB(缺少LoadBalancerId), RDS(缺少DBInstan..."
13:45:57,SLB,CreateLoadBalancer,1,
13:46:03,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
13:46:13,SLB,AddBackendServers,1,
13:46:19,RDS,CreateDBInstance,1,
