time,product,api,success,error
13:46:00,VPC,DescribeVpcs,1,
13:46:14,VPC,CreateVpc,1,
13:46:30,VPC,CreateVSwitch,1,
13:48:03,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:48:20,ECS,CreateSecurityGroup,1,
13:48:41,ECS,RunInstances,1,
13:48:59,SLB,CreateLoadBalancer,1,
13:49:19,Redis,CreateInstance,1,
13:49:48,SLB,CreateLoadBalancerHTTPListener,1,
13:50:02,SLB,AddBackendServers,1,
13:50:29,SLB,StartLoadBalancerListener,1,
13:50:47,Redis,DescribeDBInstanceNetInfo,1,
13:51:03,Redis,DescribeInstanceAttribute,1,
13:51:17,Redis,DescribeInstanceAttribute,1,
13:51:32,Redis,DescribeInstanceAttribute,1,
13:51:45,Redis,DescribeInstanceAttribute,1,
13:52:10,Redis,DescribeInstanceAttribute,1,
13:52:49,ECS,AuthorizeSecurityGroup,1,
