time,product,api,success,error
13:53:15,ECS,DescribeAvailableResource,1,
13:53:24,VPC,DescribeZones,1,
13:53:32,VPC,CreateVpc,1,
13:53:40,VPC,CreateVSwitch,1,
13:53:45,VPC,CreateVSwitch,1,
13:54:10,ECS,CreateSecurityGroup,1,
13:54:21,ECS,AuthorizeSecurityGroup,1,
13:54:36,ECS,RunInstances,1,
13:54:45,ECS,RunInstances,1,
13:55:29,ECS,DescribeLoadBalancers,0,任务未完成: 缺少资源: SLB(缺少LoadBalancerId)
13:55:40,VPC,DescribeVSwitches,1,
13:55:48,VPC,DescribeVSwitches,1,
13:56:03,VPC,CreateVSwitch,1,
13:56:20,ECS,RunInstances,1,
13:57:50,ECS,DescribeLoadBalancers,0,任务未完成: 缺少资源: SLB(缺少LoadBalancerId)
13:58:02,ECS,DescribeInstances,1,
14:00:05,ECS,DescribeLoadBalancers,0,任务未完成: 缺少资源: SLB(缺少LoadBalancerId)
