time,product,api,success,error
13:56:01,VPC,CreateVpc,1,
13:56:18,VPC,CreateVSwitch,1,
13:59:02,VPC,CreateVSwitch,1,
14:01:31,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
14:02:04,ECS,CreateSecurityGroup,1,
14:02:33,ECS,RunInstances,1,
14:03:03,ECS,RunInstances,1,
14:03:35,SLB,CreateLoadBalancer,1,
14:04:00,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
14:04:22,SLB,AddBackendServers,1,
14:05:33,RDS,DescribeAvailableZones,1,
14:06:40,ECS,DescribeDBInstances,0,任务未完成: 缺少资源: RDS(缺少DBInstanceId)
14:07:23,VPC,DescribeVSwitches,1,
14:08:14,ECS,RunInstances,1,
14:11:59,ECS,DescribeDBInstances,0,任务未完成: 缺少资源: RDS(缺少DBInstanceId)
