time,product,api,success,error
13:48:55,VPC,DescribeZones,1,
13:49:01,VPC,CreateVpc,1,
13:49:08,VPC,CreateVSwitch,1,
13:50:40,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:50:49,ECS,CreateSecurityGroup,1,
13:50:58,ECS,AuthorizeSecurityGroup,1,
13:51:06,ECS,RunInstances,1,
13:51:13,SLB,CreateLoadBalancer,1,
13:51:25,SLB,CreateLoadBalancerHTTPListener,1,
13:51:32,SLB,AddBackendServers,0,The parameter BackendServers must be a JSON string...
13:51:42,SLB,AddBackendServers,1,
13:52:20,ECS,DescribeEipAddresses,0,任务未完成: 缺少资源: EIP(缺少AllocationId)
13:52:29,EIP,AllocateEipAddress,1,
13:52:39,EIP,AssociateEipAddress,1,
