time,product,api,success,error
13:42:40,ECS,DescribeAvailableResource,1,
13:42:46,VPC,DescribeVpcs,1,
13:42:51,VPC,CreateVpc,1,
13:42:56,VPC,DescribeVSwitches,1,
13:43:03,VPC,CreateVSwitch,1,
13:46:12,ECS,DescribeSecurityGroups,0,"任务未完成: 缺少资源: SecurityGroup(缺少SecurityGroupId), ECS..."
13:46:22,ECS,CreateSecurityGroup,1,
13:46:35,ECS,RunInstances,1,
13:46:46,SLB,CreateLoadBalancer,1,
13:47:34,ECS,DescribeDBInstances,0,任务未完成: 缺少资源: RDS(缺少DBInstanceId)
13:47:55,RDS,DescribeAvailableZones,1,
13:48:16,RDS,ListClasses,0,The parameter CommodityCode is mandatory.
13:48:28,RDS,DescribeDBInstances,1,
13:48:41,RDS,CreateDBInstance,1,
